Project Name,Package Name,Type Name,Code Smell
depends,depends.addons,MappingValue,Unutilized Abstraction
depends,depends.addons,MappingItem,Unutilized Abstraction
depends,depends.addons,DV8MappingFileBuilderTest,Unutilized Abstraction
depends,depends,DependsCommand,Multifaceted Abstraction
depends,depends,DependsCommand,Insufficient Modularization
depends,depends,SupportedLangs,Unutilized Abstraction
depends,depends,SupportedTypes,Unutilized Abstraction
depends,depends,ParameterException,Unutilized Abstraction
depends,depends.deptypes,DependencyType,Deficient Encapsulation
depends,depends.entity,AliasEntity,Unexploited Encapsulation
depends,depends.entity,AliasEntity,Missing Hierarchy
depends,depends.entity,AliasEntity,Insufficient Modularization
depends,depends.entity,AnonymousBlock,Unutilized Abstraction
depends,depends.entity,AnonymousBlock,Broken Hierarchy
depends,depends.entity,CandidateTypes,Unutilized Abstraction
depends,depends.entity,CandidateTypes,Insufficient Modularization
depends,depends.entity,ContainerEntity,Unexploited Encapsulation
depends,depends.entity,ContainerEntity,Missing Hierarchy
depends,depends.entity,ContainerEntity,Insufficient Modularization
depends,depends.entity,EmptyTypeEntity,Unutilized Abstraction
depends,depends.entity,EmptyTypeEntity,Broken Hierarchy
depends,depends.entity,Entity,Cyclic-Dependent Modularization
depends,depends.entity,Entity,Insufficient Modularization
depends,depends.entity,Expression,Deficient Encapsulation
depends,depends.entity,Expression,Cyclic-Dependent Modularization
depends,depends.entity,Expression,Insufficient Modularization
depends,depends.entity,FileEntity,Cyclic-Dependent Modularization
depends,depends.entity,FunctionCall,Unutilized Abstraction
depends,depends.entity,FunctionEntity,Cyclic-Dependent Modularization
depends,depends.entity,FunctionEntityProto,Unutilized Abstraction
depends,depends.entity,FunctionEntityProto,Broken Hierarchy
depends,depends.entity,ImportedFileCollector,Cyclic-Dependent Modularization
depends,depends.entity,MultiDeclareEntities,Unexploited Encapsulation
depends,depends.entity,MultiDeclareEntities,Missing Hierarchy
depends,depends.entity,MultiDeclareEntities,Cyclic-Dependent Modularization
depends,depends.entity,TypeEntity,Deficient Encapsulation
depends,depends.entity,TypeEntity,Unexploited Encapsulation
depends,depends.entity,TypeEntity,Missing Hierarchy
depends,depends.entity,TypeEntity,Cyclic-Dependent Modularization
depends,depends.entity,VarEntity,Cyclic-Dependent Modularization
depends,depends.entity.repo,EntityRepo,Deficient Encapsulation
depends,depends.entity.repo,InMemoryEntityRepo,Unutilized Abstraction
depends,depends.entity.repo,InMemoryEntityRepo,Broken Hierarchy
depends,depends.entity.repo,EntityＭapIterator,Unutilized Abstraction
depends,depends.entity.repo,SimpleIdGenerator,Unutilized Abstraction
depends,depends.extractor,AbstractLangProcessor,Deficient Encapsulation
depends,depends.extractor,HandlerContext,Insufficient Modularization
